Format Version,1.23,Take Name,Take 2021-08-17 09.55.36 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-08-17 09.55.36.581 ,Capture Start Frame,136643,Total Frames in Take,2825,Total Exported Frames,2825,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,"RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker1","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker2","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker3","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker4","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker5","RigidBody:Marker6","RigidBody:Marker6","RigidBody:Marker6",RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker1,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker2,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker3,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker4,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker5,RigidBody:Marker6,RigidBody:Marker6,RigidBody:Marker6
,ID,"1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","1283CD90FE9911EB26E9B7E4F9CCA5AE","C3F60","C3F60","C3F60","C4020","C4020","C4020","C3F80","C3F80","C3F80","C3FC0","C3FC0","C3FC0","C3FA0","C3FA0","C3FA0","C3FB0","C3FB0","C3FB0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.037692,-0.011649,0.534790,-0.844064,247.160843,-21.412106,658.634094,247.326706,-21.476866,658.792908,220.078430,31.572714,628.728455,182.359558,107.858536,665.711426,169.696930,41.503021,633.091736,249.290146,59.077553,665.888916,119.922165,32.778957,642.039124,247.125000,-21.340988,658.635864,220.752090,31.505249,628.543335,182.245209,107.478729,666.536865,169.614258,41.335514,633.966431,249.327347,59.318199,665.066895,119.705650,32.655914,642.666443
1,0.008333,-0.037942,-0.011736,0.534788,-0.844053,247.164841,-21.412033,658.664673,247.330673,-21.476877,658.823486,220.086411,31.588394,628.783020,182.363647,107.855453,665.800781,169.704468,41.516823,633.145386,249.293900,59.073860,665.961182,119.928551,32.788513,642.082336,247.123077,-21.320881,658.636963,220.754364,31.515793,628.591980,182.246933,107.462257,666.642822,169.619400,41.376770,633.974548,249.326553,59.313763,665.112549,119.711937,32.674305,642.681091
2,0.016667,-0.038227,-0.011932,0.534777,-0.844044,247.161850,-21.410463,658.654236,247.327698,-21.475414,658.812988,220.081757,31.610161,628.810059,182.358582,107.850891,665.881470,169.699753,41.534683,633.180481,249.289658,59.070393,666.006470,119.924217,32.799332,642.112549,247.130875,-21.336733,658.665283,220.750259,31.529665,628.628479,182.235855,107.468758,666.697876,169.620132,41.387726,634.033142,249.316376,59.317047,665.144714,119.710213,32.688568,642.710388
3,0.025000,-0.038453,-0.012046,0.534758,-0.844044,247.161072,-21.412756,658.670593,247.326904,-21.477781,658.829407,220.080627,31.621933,628.851685,182.352921,107.842712,665.959595,169.698044,41.542503,633.224609,249.285706,59.064480,666.063416,119.922356,32.800926,642.149780,247.121490,-21.326841,658.645996,220.752930,31.551208,628.664490,182.228821,107.470177,666.744568,169.613220,41.392059,634.073669,249.325470,59.294701,665.245178,119.701172,32.683262,642.749268
4,0.033333,-0.038586,-0.012116,0.534737,-0.844050,247.163376,-21.407215,658.681458,247.329208,-21.472281,658.840210,220.081314,31.635218,628.877808,182.349213,107.843117,666.007629,169.698181,41.552200,633.252380,249.284195,59.067867,666.098511,119.922684,32.805695,642.173645,247.123352,-21.327274,658.664856,220.749191,31.572197,628.652771,182.230347,107.456619,666.834534,169.611511,41.404457,634.098877,249.311554,59.321949,665.225281,119.705505,32.687176,642.778931
5,0.041667,-0.038794,-0.012316,0.534737,-0.844038,247.161530,-21.394445,658.636963,247.327377,-21.459600,658.795715,220.076233,31.664961,628.866577,182.348785,107.851997,666.043884,169.693665,41.579693,633.252625,249.283569,59.076412,666.099365,119.919151,32.828369,642.174744,247.138763,-21.334574,658.688782,220.746063,31.606291,628.647095,182.223419,107.475540,666.835022,169.597061,41.443504,634.059509,249.318375,59.305161,665.268066,119.704941,32.710621,642.787598
